wave_peak	wave_base	wave_top	note
1531.75670	1531.69843	1531.88838	CN 1
1532.16544	1532.10832	1532.24828	C2H2
1532.42957	1532.24828	1532.58819	C2H2
1532.8121	1532.7022	1532.9521	Fe 1
1533.01762	1532.94809	1533.05806	Si 1
1533.47168	1533.33798	1533.58791	Ti 1
1534.20588	1534.13776	1534.30772	OH 1
1534.46079	1534.38769	1534.49766	OH 1
1534.58228	1534.49766	1534.60763	Fe 1
1534.63861	1534.60763	1534.72760	OH 1
1534.79512	1534.72760	1534.81757	OH 1
1534.84622	1534.81757	1534.92754	Fe 1
1535.12434	1534.92754	1535.17748	OH 1
1535.56724	1535.51738	1535.66734	HCN
1535.68534	1535.66734	1535.74732	C2H2
1535.85886	1535.74732	1535.91727	C2H2
1536.04674	1535.91727	1536.10722	OH 1
1536.18353	1536.10722	1536.34715	OH 1
1536.54720	1536.46712	1536.57709	HCN
1536.60930	1536.57709	1536.78703	HCl
1536.88751	1536.78703	1536.97698	OH 1
1537.11937	1536.97698	1537.14693	Fe 1
1537.21921	1537.14693	1537.31689	OH 1
1537.84169	1537.76676	1537.93672	OH 1
1538.06151	1537.93672	1538.19664	CN 1
1538.70634	1538.63652	1538.82647	Si 1
1538.95530	1538.82647	1539.01642	OH 1
1539.52111	1539.46630	1539.63625	C2H2
1539.71284	1539.63625	1539.82620	NO 1
1540.14280	1540.08612	1540.25608	OH 1
1540.31537	1540.25608	1540.38604	CN 1
1540.68901	1540.53600	1540.80593	OH 1
1540.90458	1540.80593	1541.01587	OH 1
1541.51328	1541.40576	1541.65569	Mg 1
1541.76505	1541.65569	1541.82565	CN 1
1541.92586	1541.82565	1541.99560	CN 1
1542.21583	1542.14556	1542.31551	S 1
1543.13344	1543.04531	1543.23526	OH 1
1543.47420	1543.36522	1543.55517	OH 1
1543.76429	1543.70513	1543.85509	Fe 1
1543.99387	1543.91507	1544.04504	OH 1
1544.14371	1544.04504	1544.17500	OH 1
1544.76170	1544.60488	1544.83482	Cr 1
1545.44480	1545.34468	1545.49464	Fe 1
1545.56228	1545.49464	1545.66459	CN 1
1546.13848	1545.96451	1546.22444	Fe 1
1546.40675	1546.33441	1546.52435	OH 1
1546.77577	1546.69431	1546.86426	HCN
1547.58657	1547.55407	1547.67404	Mn 1
1547.84092	1547.67404	1547.91397	S 1
1548.00533	1547.91397	1548.14391	Fe 1
1548.33410	1548.25388	1548.40384	OH 1
1548.47125	1548.40384	1548.55379	OH 1
